ticker,side,tier,fem,l1,l2,l3,l6,entry,stop,t1,rr,last_close,dist_pct,proximity,genesis,tick_width,creation_vol,path,range,session,isolation,float_genesis,gap_tf,macro,total_gaps,n_timeframes,shares_out
PLUG,Short,T1-CONVICTION,70,85,78,52,40,2.21,2.23,2.17,2.0,2.18,1.4,CLOSE,MINOR,2,53360007,HIGHWAY,NEAR_EDGE,MIXED,CLUSTERED,,1d,NEUTRAL,35,9,0
RRGB,Short,T1-CONVICTION,63,73,70,52,40,2.66,2.67,2.64,2.0,2.65,0.4,CLOSE,MINOR,1,45906,HIGHWAY,NEAR_EDGE,MIXED,CLUSTERED,,15m,BEARISH,106,9,0
EU,Short,T1-CONVICTION,58,64,63,42,53,1.835,1.8399,1.785,10.2,1.79,2.5,CLOSE,MINOR,0,49618,OPEN_ROAD,NEAR_EDGE,MIXED,CLUSTERED,,1m,BEARISH,48,9,0
IXHL,Short,T1-CONVICTION,49,58,15,62,65,3.25,3.26,3.23,2.0,3.24,0.3,CLOSE,MINOR,1,15109,MIXED,NEAR_EDGE,NEUTRAL,CLUSTERED,,10m,BEARISH,61,9,0
SXTP,Short,T1-CONVICTION,34,40,8,42,53,1.525,1.54,1.485,2.7,1.5,1.7,CLOSE,MINOR,2,500,MIXED,NEAR_EDGE,MIXED,CLUSTERED,,1m,BEARISH,82,9,0
GVH,Short,T2-STRONG,78,63,100,82,75,1.42,1.425,1.26,32.0,1.4,1.4,CLOSE,MINOR,1,471357,HIGHWAY,EDGE,ALIGNED,CLUSTERED,,30m,BEARISH,73,9,0
BTQ,Short,T2-STRONG,63,64,70,70,40,2.22,2.23,2.13,9.0,2.15,3.3,APPROACH,MINOR,1,30714,HIGHWAY,EDGE,MIXED,CLUSTERED,,1m,BEARISH,80,9,0
JTAI,Short,T2-STRONG,59,46,84,70,40,0.0862,0.0871,0.0785,8.6,0.0789,9.3,WAITING,MINOR,0,100,HIGHWAY,EDGE,MIXED,CLUSTERED,,1m,BEARISH,52,9,0
HDSN,Short,T2-STRONG,58,70,78,20,40,6.02,6.04,5.96,3.0,5.76,4.5,APPROACH,MINOR,2,200,HIGHWAY,OPEN_BELOW,MIXED,CLUSTERED,,1m,BEARISH,33,9,0
ORBS,Short,T2-STRONG,55,40,84,62,40,1.045,1.0499,0.9698,15.3,1.01,3.5,APPROACH,MINOR,0,818841,HIGHWAY,EDGE,MIXED,CLUSTERED,,15m,BEARISH,60,9,0
ONCO,Short,T2-STRONG,51,45,78,20,65,2.09,2.11,2.03,3.0,1.94,7.7,WAITING,COMPRESSION,2,8025736,HIGHWAY,OPEN_BELOW,NEUTRAL,CLUSTERED,,4h,BEARISH,31,9,0
IZM,Short,T3-WATCH,86,74,100,100,75,0.9,0.93,0.6331,8.9,0.8795,2.3,CLOSE,MINOR,3,46203,HIGHWAY,EDGE,ALIGNED,MILKY_WAY,,1d,BEARISH,74,9,0
