ticker,is_alumnus,chg_pct_full,chg_pct_intraday,open,close,high,low,volume,is_mover,picked,in_abook,in_momentum,in_recovery,in_short,which_panels,verdict
BZFD,false,0.0,-18.24,1.7,1.39,1.8,1.35,130564500,false,false,false,false,false,false,,IGNORED
CNCK,false,0.0,-13.99,2.395,2.06,2.4,1.97,52369300,false,false,false,false,false,false,,IGNORED
TDIC,false,0.0,30.75,1.805,2.36,2.87,1.41,120035100,false,false,false,false,false,false,,IGNORED
CREG,false,0.0,4.17,0.24,0.25,0.26,0.2,171766500,false,false,false,false,false,false,,IGNORED
HTCO,false,0.0,28.18,8.8,11.28,12.12,7.3,10626800,false,false,false,false,false,false,,IGNORED
RPGL,false,0.0,-9.74,0.493,0.445,0.54,0.435,22227900,false,false,false,false,false,false,,IGNORED
QUBT,false,0.0,-7.24,12.7,11.78,14.45,11.29,140765300,false,false,false,false,false,false,,IGNORED
AMBO,false,0.0,-6.91,2.46,2.29,2.6,1.99,3545700,false,false,false,false,false,false,,IGNORED
WEN,false,0.0,3.81,7.61,7.9,8.02,7.12,57822300,false,false,false,false,false,false,,IGNORED
MGNX,false,0.0,2.03,3.45,3.52,3.84,3.36,9593600,false,false,false,false,false,false,,IGNORED
AIIO,false,0.0,-10.49,1.43,1.28,1.49,1.2,20172800,false,false,false,false,false,false,,IGNORED
PLUG,false,0.0,-5.57,3.77,3.56,3.89,3.46,195552500,false,false,false,false,false,false,,IGNORED
XOS,false,0.0,-8.13,2.09,1.92,2.15,1.83,7328100,false,false,false,false,false,false,,IGNORED
VG,false,0.0,5.48,12.58,13.27,13.6,12.11,41722100,false,false,false,false,false,false,,IGNORED
DXF,false,0.0,28.26,0.46,0.59,0.67,0.42,68494300,false,false,false,false,false,false,,IGNORED
TE,false,0.0,-10.0,6.5,5.85,6.51,5.5,36326200,false,false,false,false,false,false,,IGNORED
RZLV,false,0.0,3.69,2.71,2.81,2.91,2.65,34050700,false,false,false,false,false,false,,IGNORED
POET,false,0.0,0.22,13.7,13.73,14.97,12.97,84929600,false,false,false,false,false,false,,IGNORED
DVLT,false,0.0,5.66,0.53,0.56,0.57,0.53,55619100,false,false,false,false,false,false,,IGNORED
ALP,false,0.0,14.11,0.241,0.275,0.33,0.234,104790700,false,false,false,false,false,false,,IGNORED
CLDI,false,0.0,-7.5,0.2,0.185,0.2,0.185,5076300,false,false,false,false,false,false,,IGNORED
EZGO,false,0.0,-25.58,0.043,0.032,0.045,0.031,653131900,false,false,false,false,false,false,,IGNORED
RGTI,false,0.0,-6.98,20.5,19.07,21.02,18.23,49374700,false,false,false,false,false,false,,IGNORED
LAES,false,0.0,-3.61,3.05,2.94,3.24,2.865,12647000,false,false,false,false,false,false,,IGNORED
IONQ,false,0.0,-2.41,57.25,55.87,59.15,52.17,51557900,false,false,false,false,false,false,,IGNORED
IREN,false,0.0,2.09,55.4,56.56,57.218,53.0,75880700,false,false,false,false,false,false,,IGNORED
NVDA,false,0.0,1.02,218.55,220.78,223.75,214.92,158666400,false,false,false,false,false,false,,IGNORED
GPUS,false,0.0,0.0,0.12,0.12,0.12,0.11,21384700,false,false,false,false,false,false,,IGNORED
NOK,false,0.0,-2.44,13.5,13.17,13.62,12.83,103718200,false,false,false,false,false,false,,IGNORED
MU,false,0.0,-1.05,774.7,766.58,782.76,706.6,73115800,false,false,false,false,false,false,,IGNORED
RXT,false,0.0,32.15,4.79,6.33,6.34,4.75,60672900,false,false,false,false,false,false,,IGNORED
MOBX,false,0.0,-12.27,2.2,1.93,2.42,1.875,4262800,false,false,false,false,false,false,,IGNORED
GPRO,false,0.0,-6.61,1.21,1.13,1.25,1.07,14017900,false,false,false,false,false,false,,IGNORED
INTC,false,0.0,-3.02,124.36,120.61,127.79,115.0,171427900,false,false,false,false,false,false,,IGNORED
QBTS,false,0.0,-0.31,22.42,22.35,23.91,20.88,46780600,false,false,false,false,false,false,,IGNORED
GDC,false,0.0,0.71,0.14,0.141,0.143,0.13,36079700,false,false,false,false,false,false,,IGNORED
GV,false,0.0,38.97,0.195,0.271,0.272,0.188,57369500,false,false,false,false,false,false,,IGNORED
ENSC,false,0.0,-4.23,0.331,0.317,0.358,0.315,3469000,false,false,false,false,false,false,,IGNORED
HIMS,false,0.0,-0.71,25.21,25.03,26.84,24.56,53409300,false,false,false,false,false,false,,IGNORED
MEHA,false,0.0,-10.2,0.098,0.088,0.098,0.085,27538600,false,false,false,false,false,false,,IGNORED
MVST,false,0.0,10.59,1.275,1.41,1.5,1.262,19585200,false,false,false,false,false,false,,IGNORED
NVTS,false,0.0,-11.37,21.72,19.25,22.0,18.67,47031800,false,false,false,false,false,false,,IGNORED
ACHR,false,0.0,0.0,6.39,6.39,6.68,6.05,54196100,false,false,false,false,false,false,,IGNORED
KEEL,false,0.0,-1.93,4.15,4.07,4.21,3.76,33071500,false,false,false,false,false,false,,IGNORED
BTBT,false,0.0,-5.77,2.08,1.96,2.08,1.84,31917000,false,false,false,false,false,false,,IGNORED
RKLB,false,0.0,4.26,112.76,117.56,121.49,112.41,34056500,false,false,false,false,false,false,,IGNORED
CRCL,false,0.0,-4.88,129.99,123.65,140.0,120.5,29345600,false,false,false,false,false,false,,IGNORED
SMR,false,0.0,-7.62,12.99,12.0,12.998,11.48,40953100,false,false,false,false,false,false,,IGNORED
RDW,false,0.0,-2.03,11.8,11.56,12.37,11.03,27487000,false,false,false,false,false,false,,IGNORED
QCOM,false,0.0,-8.5,229.84,210.31,230.0,202.0,38442500,false,false,false,false,false,false,,IGNORED
BMNR,false,0.0,-3.13,22.37,21.67,22.5,21.23,44938600,false,false,false,false,false,false,,IGNORED
ASTS,false,0.0,-0.64,73.43,72.96,79.867,69.92,32732600,false,false,false,false,false,false,,IGNORED
EOSE,false,0.0,-2.92,8.344,8.1,8.38,7.77,29491900,false,false,false,false,false,false,,IGNORED
DGXX,false,0.0,16.85,7.18,8.39,8.52,6.86,21245100,false,false,false,false,false,false,,IGNORED
SIDU,false,0.0,-4.05,3.46,3.32,3.75,3.11,19958800,false,false,false,false,false,false,,IGNORED
QS,false,0.0,7.81,7.81,8.42,8.55,7.56,31241600,false,false,false,false,false,false,,IGNORED
CLSK,false,0.0,2.39,13.155,13.47,14.34,12.4,31843000,false,false,false,false,false,false,,IGNORED
MRAM,false,0.0,20.69,36.465,44.01,44.5,34.03,13639100,false,false,false,false,false,false,,IGNORED
DNN,false,0.0,-2.37,3.79,3.7,3.81,3.56,30296300,false,false,false,false,false,false,,IGNORED
FLNC,false,0.0,-5.97,22.63,21.28,23.85,20.59,20353500,false,false,false,false,false,false,,IGNORED
HL,false,0.0,1.98,20.17,20.57,20.57,19.17,19092000,false,false,false,false,false,false,,IGNORED
GLW,false,0.0,-2.99,204.34,198.24,205.32,188.29,23030400,false,false,false,false,false,false,,IGNORED
HIVE,false,0.0,-3.09,2.91,2.82,2.92,2.7,15201800,false,false,false,false,false,false,,IGNORED
RR,false,0.0,-4.46,2.69,2.57,2.81,2.53,16232600,false,false,false,false,false,false,,IGNORED
OKLO,false,0.0,-2.77,75.73,73.63,76.68,70.3,15496000,false,false,false,false,false,false,,IGNORED
AAOI,false,0.0,5.78,178.0,188.28,208.0,173.5,16282900,false,false,false,false,false,false,,IGNORED
SATL,false,0.0,-1.95,7.7,7.55,8.494,7.06,11372200,false,false,false,false,false,false,,IGNORED
URG,false,0.0,3.19,1.88,1.94,1.95,1.77,19562100,false,false,false,false,false,false,,IGNORED
LUNR,false,0.0,2.79,31.22,32.09,32.988,29.93,10676400,false,false,false,false,false,false,,IGNORED
UUUU,false,0.0,-2.56,21.5,20.95,21.52,19.99,10239000,false,false,false,false,false,false,,IGNORED
GSIT,false,0.0,-4.07,12.03,11.54,12.12,10.41,4875900,false,false,false,false,false,false,,IGNORED
COIN,false,0.0,-2.01,211.9,207.64,218.46,200.2,9484800,false,false,false,false,false,false,,IGNORED
