ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,news
TSSI,Short,RESISTANCE,T5-SHORT,22,12.6,12.66,12.15,7.5,0.06,12.23,3.0,APPROACH,1,1,1m,12.66,12.6,MIXED,46788,0.0,0.5,0,26.5,41,8,
SLDE,Long,FRESH_HOLD,T3-LONG_WATCH,64,17.94,17.57,19.21,3.4,0.37,18.18,1.3,CLOSE,11,6,"10m,15m,1h,30m,4h,5m",17.94,17.57,OPEN_ROAD,32808533,0.1,0.6,0,5.1,36,8,
SLDE,Short,RESISTANCE,T5-SHORT,42,19.21,19.41,17.94,6.4,0.2,18.18,5.7,APPROACH,1,1,1d,19.41,19.21,OPEN_ROAD,37146480,0.1,0.6,0,5.1,36,8,
LFST,Long,FRESH_HOLD,T3-LONG_WATCH,68,6.3,6.25,6.51,4.2,0.05,6.33,0.5,CLOSE,5,5,"10m,15m,1m,30m,5m",6.3,6.25,HIGHWAY,2481186,0.0,0.4,0,8.2,29,8,
LFST,Short,RESISTANCE,T2-SHORT,62,6.51,6.53,6.3,10.5,0.02,6.33,2.8,CLOSE,1,1,1h,6.53,6.51,HIGHWAY,402436,0.0,0.4,0,8.2,29,8,
HKIT,Short,RESISTANCE,T5-SHORT,8,0.0851,0.0855,0.0818,8.2,0.0004,0.0839,1.4,CLOSE,1,1,15m,0.0855,0.0851,MIXED,0,1.1,5.6,1,416.3,78,8,
VRAX,Short,RESISTANCE,T3-SHORT,80,0.29,0.297,0.2263,9.1,0.007,0.2522,15.0,WAITING,1,1,1h,0.297,0.29,HIGHWAY,135855,18.8,6.3,1,84.1,25,8,
POLA,Long,PULLBACK,T3-LONG_WATCH,48,2.45,2.44,4.9,245.0,0.01,2.53,3.2,APPROACH,1,1,1m,2.45,2.44,HIGHWAY,558694,2.3,1.0,1,74.2,52,8,
MGN,Short,RESISTANCE,T5-SHORT,44,0.1749,0.176,0.164,9.9,0.0011,0.1651,5.9,APPROACH,1,1,10m,0.176,0.1749,OPEN_ROAD,0,0.6,1.6,3,3940.6,46,8,
ARTL,Short,RESISTANCE,T5-SHORT,47,10.85,10.91,9.68,19.5,0.06,9.95,9.0,WAITING,1,1,1m,10.91,10.85,OPEN_ROAD,175560,0.1,3.4,1,574.9,48,8,
BURU,Short,RESISTANCE,T5-SHORT,19,0.17,0.1713,0.1615,6.5,0.0013,0.1635,4.0,APPROACH,1,1,1h,0.1713,0.17,MIXED,0,0.1,0.4,0,30.9,57,8,
ONDS,Short,RESISTANCE,T3-SHORT,80,9.35,9.44,8.28,11.9,0.09,8.375,11.6,WAITING,1,1,1d,9.44,9.35,HIGHWAY,540822213,0.1,0.5,0,43.2,28,8,
ONDS,Long,FRESH_HOLD,T3-LONG_WATCH,71,8.28,8.15,9.35,8.2,0.13,8.375,1.1,CLOSE,7,7,"10m,15m,1h,1m,30m,4h,5m",8.28,8.15,HIGHWAY,207637067,0.1,0.5,0,43.2,28,8,
JTAI,Short,RESISTANCE,T2-SHORT,80,0.0823,0.0827,0.0807,4.0,0.0004,0.0809,1.7,CLOSE,1,1,1m,0.0827,0.0823,HIGHWAY,0,0.1,0.4,0,47.9,54,8,
JTAI,Long,FRESH_HOLD,T3-LONG_WATCH,11,0.0785,0.0771,0.0823,2.7,0.0014,0.0809,3.0,CLOSE,1,1,15m,0.0785,0.0771,OPEN_ROAD,0,0.1,0.4,0,47.9,54,8,
WNW,Short,RESISTANCE,T3-SHORT,80,0.0768,0.077,0.0744,12.0,0.0002,0.0751,2.3,CLOSE,1,1,1d,0.077,0.0768,HIGHWAY,0,0.0,0.2,0,82.9,50,8,
QNCX,Short,RESISTANCE,T5-SHORT,8,0.1,0.1013,0.0964,2.8,0.0013,0.0983,1.7,CLOSE,1,1,1d,0.1013,0.1,MIXED,0,0.1,1.3,1,34.6,29,8,
TPET,Short,RESISTANCE,T5-SHORT,8,0.73,0.7349,0.6898,8.2,0.0049,0.7267,0.5,CLOSE,1,1,5m,0.7349,0.73,MIXED,0,0.0,0.2,0,42.4,60,8,
AIIO,Short,RESISTANCE,T2-SHORT,80,0.0915,0.0917,0.0909,3.0,0.0002,0.0815,12.3,WAITING,1,1,1m,0.0917,0.0915,HIGHWAY,0,0.4,0.8,0,42.4,95,8,
CXAI,Short,RESISTANCE,T3-SHORT,70,0.1857,0.1961,0.1649,2.0,0.0104,0.1681,10.5,WAITING,1,1,1d,0.1961,0.1857,HIGHWAY,3531124,0.3,0.3,0,90.1,70,8,
CXAI,Long,FRESH_HOLD,T3-LONG_WATCH,31,0.1649,0.1642,0.1857,29.7,0.0007,0.1681,1.9,CLOSE,1,1,1m,0.1649,0.1642,HIGHWAY,0,0.3,0.3,0,90.1,70,8,
TE,Short,RESISTANCE,T5-SHORT,45,4.885,5.38,3.31,3.2,0.495,4.685,4.3,APPROACH,1,1,1d,5.38,4.885,OPEN_ROAD,520665950,0.6,1.0,0,61.7,29,8,
PMNT,Long,PULLBACK,T2-LONG,66,0.1966,0.1889,0.2361,5.1,0.0077,0.2108,6.7,APPROACH,3,3,"15m,1m,5m",0.1966,0.1889,OPEN_ROAD,200,0.2,3.3,1,104.9,30,8,
PMNT,Short,RESISTANCE,T5-SHORT,25,0.2361,0.2489,0.1971,3.0,0.0128,0.2108,12.0,WAITING,1,1,1h,0.2489,0.2361,OPEN_ROAD,21010523,0.2,3.3,1,104.9,30,8,
