ticker,convergence_score,n_scanners,scanners,sides,dominant_side,agreement_pct,best_rank,avg_rank,long_pts,short_pts,total_raw_pts
ESPR,3.2,1,Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,2.7,2.7,5.4
MIR,3.2,1,Analyst#5;Analyst#5,NA,LONG,50.0,5,5.0,2.7,2.7,5.4
NOK,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
ABCL,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
PFE,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
BZAI,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
AUR,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
CRCL,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
CABA,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
VG,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
CORZ,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
KOPN,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
FNMA,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
PURR,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
TDOC,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
AESI,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
FMCC,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
WT,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
BAND,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
FROG,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
ALKT,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
GLBE,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
BHVN,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
CECO,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
AMPL,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
HUBS,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
ARVN,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
MLYS,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
CEVA,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
SEZL,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
TLN,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
AGYS,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
HGV,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
PLUG,1.6,1,Analyst#5,NA,LONG,50.0,5,5.0,1.3,1.3,2.7
