ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
PRSO,BOUNCED_WAITING,0,0,43.0,2,-1.4,False,1.9,1d,20,22,False,5m,0,True,881,89,925.5,52,51,1d.22t | 1d.12t | 1d.8t~,2026-05-11T16:15:00.000000000,1.16,2026-05-11T17:15:00.000000000,0.9624,1.36,0.9143,8.27,6,0,False,0.43,3094543,0,103
QUBT,BOUNCED_CLEAN,0,4,124.2,6,2.8,False,1.0,1d,20,22,False,1d,97,False,9900,0,9900.0,15,0,1d.104t | 1d.83t | 1d.60t,2026-05-12T09:30:00.000000000,14.1722,2026-05-12T13:00:00.000000000,11.2,15.09,10.2944,4.3,0,0,False,1.2,21970638,0,15
FCHL,BOUNCED_WAITING,0,5,1180.4,4,1.6,False,0.3,1d,20,35,True,1d,16,True,362586,73432,399302.0,185,67,1d.4361t | 1d.2850t~ | 1d.2700t,2026-04-30T11:45:00.000000000,3.357,2026-05-13T07:00:00.000000000,1.9803,3.87,1.5669,4.57,103,0,False,28.78,4251045,0,252
CDNL,BOUNCED_WAITING,0,2,107.2,4,-0.7,False,1.1,15m,5,343,False,1m,27,False,8239,3131,9804.5,31,9,4h.36t | 1h.145t~ | 1h.37t,2026-05-12T08:30:00.000000000,64.0,2026-05-12T11:00:00.000000000,56.02,64.99,54.391,5.51,8,0,False,1.04,387441,0,40
