dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,intraday,10,6,0,4,60.0,102.36,1023.6,-76.5
scanner,abook,14,3,7,4,21.43,15.6,218.36,-99.99
gap_tier,IN_BAND,8,5,0,3,62.5,104.59,836.72,-76.5
gap_tier,(none),14,3,7,4,21.43,15.6,218.36,-99.99
gap_tier,STRETCHED,1,1,0,0,100.0,199.89,199.89,199.89
gap_tier,PARABOLIC,1,0,0,1,0.0,-13.01,-13.01,-13.01
regime,FAVORABLE,24,9,7,8,37.5,51.75,1241.96,-99.99
stop_method,fixed-%-fallback,2,2,0,0,100.0,199.93,399.86,199.89
stop_method,PM low,4,2,0,2,50.0,78.35,313.4,-58.26
stop_method,PM high,4,2,0,2,50.0,77.58,310.34,-76.5
stop_method,FIXED,14,3,7,4,21.43,15.6,218.36,-99.99
side,SHORT,6,4,0,2,66.67,118.37,710.2,-76.5
side,LONG,18,5,7,6,27.78,29.54,531.76,-99.99
setup,FAILED-GAP-SHORT,6,4,0,2,66.67,118.37,710.2,-76.5
setup,HOLDING-LONG,4,2,0,2,50.0,78.35,313.4,-58.26
setup,MOO,14,3,7,4,21.43,15.6,218.36,-99.99
conviction_band,(none),24,9,7,8,37.5,51.75,1241.96,-99.99
