ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,news
GV,Short,RESISTANCE,T3-SHORT,80,0.3199,0.3237,0.2324,23.0,0.0038,0.3009,6.3,APPROACH,1,1,10m,0.3237,0.3199,HIGHWAY,0,14.2,5.4,2,131.5,49,8,
BFRG,Short,RESISTANCE,T3-SHORT,80,1.81,1.817,1.478,47.4,0.007,1.6478,9.8,WAITING,1,1,1m,1.817,1.81,HIGHWAY,953665,6.6,6.6,2,299.6,29,8,
MASK,Long,PULLBACK,T2-LONG,96,2.4483,2.4217,3.8175,51.5,0.0266,2.53,3.2,APPROACH,3,3,"10m,1h,5m",2.4483,2.4217,HIGHWAY,6768177,19.3,6.5,1,180.2,44,8,
MGN,Long,FRESH_HOLD,T1-STRONG_LONG,100,0.1865,0.1805,0.2031,2.8,0.006,0.1889,1.3,CLOSE,7,5,"10m,15m,1h,30m,5m",0.1865,0.1805,HIGHWAY,0,3.0,2.3,4,3940.6,53,8,
MGN,Short,RESISTANCE,T3-SHORT,80,0.2031,0.205,0.1865,8.7,0.0019,0.1889,7.5,WAITING,1,1,1m,0.205,0.2031,HIGHWAY,0,3.0,2.3,4,3940.6,53,8,
MGN,Long,PULLBACK,T3-LONG_WATCH,54,0.1748,0.1729,0.2031,14.9,0.0019,0.1889,7.5,WAITING,1,1,1m,0.1748,0.1729,OPEN_ROAD,0,3.0,2.3,4,3940.6,53,8,
BMNG,Short,RESISTANCE,T2-SHORT,80,1.25,1.255,1.2099,8.0,0.005,1.215,2.9,CLOSE,1,1,10m,1.255,1.25,HIGHWAY,0,1.3,1.4,0,53.0,57,8,
BMNG,Long,PULLBACK,T3-LONG_WATCH,20,1.105,1.1013,1.25,39.2,0.0037,1.215,9.1,WAITING,1,1,1m,1.105,1.1013,OPEN_ROAD,0,1.3,1.4,0,53.0,57,8,
DRIP,Short,RESISTANCE,T3-SHORT,80,4.42,4.52,4.07,3.5,0.1,4.2,5.2,APPROACH,1,1,1d,4.52,4.42,HIGHWAY,450328790,1.8,1.3,0,14.9,52,8,
DRIP,Long,PULLBACK,T3-LONG_WATCH,66,3.95,3.94,4.42,47.0,0.01,4.2,6.0,APPROACH,3,3,"10m,1m,5m",3.95,3.94,OPEN_ROAD,11306468,1.8,1.3,0,14.9,52,8,
AIIO,Long,FRESH_HOLD,T2-LONG,72,0.095,0.0944,0.0969,3.2,0.0006,0.0964,1.5,CLOSE,2,2,"10m,1m",0.095,0.0944,OPEN_ROAD,0,2.3,1.3,1,42.4,82,8,
AIIO,Short,RESISTANCE,T5-SHORT,51,0.0969,0.0973,0.095,4.8,0.0004,0.0964,0.5,CLOSE,1,1,10m,0.0973,0.0969,OPEN_ROAD,0,2.3,1.3,1,42.4,82,8,
