dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,abook,48,19,25,4,39.58,33.66,1615.54,-100.64
scanner,momentum,44,20,24,0,45.45,35.89,1579.14,-100.36
scanner,short,29,13,16,0,44.83,34.35,996.03,-100.0
scanner,intraday,37,6,6,25,16.22,19.46,719.95,-99.88
gap_tier,IN_BAND,56,20,22,14,35.71,32.02,1793.4,-100.05
gap_tier,(none),48,19,25,4,39.58,33.66,1615.54,-100.64
gap_tier,EXTREME,15,8,6,1,53.33,60.52,907.79,-100.13
gap_tier,PARABOLIC,14,6,7,1,42.86,34.81,487.36,-100.36
gap_tier,STRETCHED,25,5,11,9,20.0,4.26,106.57,-100.22
regime,FAVORABLE,157,57,71,29,36.31,30.01,4710.79,-100.64
regime,FAVOR,1,1,0,0,100.0,199.87,199.87,199.87
stop_method,FIXED,121,52,65,4,42.98,34.63,4190.71,-100.64
stop_method,PM low,17,3,2,12,17.65,29.2,496.46,-99.84
stop_method,fixed-%-fallback,1,1,0,0,100.0,199.89,199.89,199.89
stop_method,PM high,19,2,4,13,10.53,1.24,23.6,-99.88
side,LONG,109,42,51,16,38.53,33.86,3691.14,-100.64
side,SHORT,49,16,20,13,32.65,24.89,1219.52,-100.0
setup,MOO,48,19,25,4,39.58,33.66,1615.54,-100.64
setup,MOO_GENESIS,44,20,24,0,45.45,35.89,1579.14,-100.36
setup,SHORT_GENESIS_9_33,29,13,16,0,44.83,34.35,996.03,-100.0
setup,HOLDING-LONG,17,3,2,12,17.65,29.2,496.46,-99.84
setup,FAILED-GAP-SHORT,17,3,3,11,17.65,19.19,326.25,-99.88
setup,ORB-SHORT,1,0,0,1,0.0,0.11,0.11,0.11
setup,ORB-SHORT|FAILED-GAP-SHORT,2,0,1,1,0.0,-51.44,-102.87,-99.78
conviction_band,(none),158,58,71,29,36.71,31.08,4910.66,-100.64
