ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,checked_at,scan_date
RZLV,Long,T1-STRONG_LONG,100,FRESH_HOLD,2.575,2.405,3.03,2.56,2.85,2.36,29237310.0,-0.58,STOPPED,-1.0,2026-03-31_1328,
CRDL,Long,T1-STRONG_LONG,90,FRESH_HOLD,1.235,1.2,1.46,1.35,1.39,1.2463,2096346.0,9.31,WINNING,3.29,2026-03-31_1328,
AMTX,Long,T1-STRONG_LONG,75,FRESH_HOLD,3.34,3.3,3.495,3.19,3.4399,3.07,1989508.0,-4.49,STOPPED,-1.0,2026-03-31_1328,
UNIT,Long,T1-STRONG_LONG,75,FRESH_HOLD,7.94,7.64,8.11,9.38,9.42,8.22,6271981.0,18.14,TARGET_HIT,0.57,2026-03-31_1328,
FUN,Long,T1-STRONG_LONG,74,FRESH_HOLD,16.84,16.34,17.5,17.75,17.97,17.03,1682492.0,5.4,TARGET_HIT,1.32,2026-03-31_1328,
AGRO,Long,T1-STRONG_LONG,66,PULLBACK,14.6,14.0,16.47,15.02,15.89,14.54,2178711.0,2.88,WINNING,0.7,2026-03-31_1328,
FMC,Long,T1-STRONG_LONG,63,PULLBACK,15.94,15.2,22.0,17.22,17.33,16.75,2213873.0,8.03,WINNING,1.73,2026-03-31_1328,
APRE,Long,T2-LONG,88,PULLBACK,0.7015,0.6772,0.7761,0.7629,0.8,0.69,543878.0,8.75,TARGET_HIT,3.07,2026-03-31_1328,
RZLV,Long,T2-LONG,85,PULLBACK,2.375,2.2,3.03,2.56,2.85,2.36,29237310.0,7.79,WINNING,1.06,2026-03-31_1328,
CODI,Long,T2-LONG,70,FRESH_HOLD,7.44,7.14,7.77,7.86,8.03,7.5,690068.0,5.65,TARGET_HIT,1.1,2026-03-31_1328,
ONEG,Long,T2-LONG,67,FRESH_HOLD,2.1,2.04,2.2281,2.08,2.15,2.06,429790.0,-0.95,LOSING,-0.33,2026-03-31_1328,
GEVO,Long,T2-LONG,66,PULLBACK,2.54,2.35,3.08,2.73,2.97,2.62,9770542.0,7.48,WINNING,1.0,2026-03-31_1328,
GVH,Long,T2-LONG,49,PULLBACK,1.37,1.3,1.55,2.23,2.53,1.43,6141041.0,62.77,TARGET_HIT,2.57,2026-03-31_1328,
ALTO,Long,T2-LONG,29,FRESH_HOLD,4.52,4.43,4.81,4.84,5.06,4.5624,2051435.0,7.08,TARGET_HIT,3.22,2026-03-31_1328,
YYGH,Long,T3-LONG_WATCH,85,FRESH_HOLD,1.11,1.1,1.185,1.05,1.08,1.0,201705.0,-5.41,STOPPED,-1.0,2026-03-31_1328,
GLND,Long,T3-LONG_WATCH,76,FRESH_HOLD,10.86,10.82,11.15,8.75,10.18,8.33,901668.0,-19.43,STOPPED,-1.0,2026-03-31_1328,
FMCC,Long,T3-LONG_WATCH,59,FRESH_HOLD,5.95,5.64,6.15,6.35,7.37,5.81,10666068.0,6.72,TARGET_HIT,0.65,2026-03-31_1328,
FNMA,Long,T3-LONG_WATCH,50,PULLBACK,6.66,6.3,6.8,7.2655,8.15,6.61,21402108.0,9.09,TARGET_HIT,0.39,2026-03-31_1328,
LMRI,Long,T3-LONG_WATCH,49,FRESH_HOLD,7.75,7.4,8.25,8.6,8.78,7.9,742881.0,10.97,TARGET_HIT,1.43,2026-03-31_1328,
NXTT,Long,T3-LONG_WATCH,34,PULLBACK,1.9,1.895,1.9714,2.05,2.159,1.62,463823.0,7.89,STOPPED,-1.0,2026-03-31_1328,
RBNE,Long,T3-LONG_WATCH,33,FRESH_HOLD,2.65,2.64,2.83,2.45,2.5,2.16,1872255.0,-7.55,STOPPED,-1.0,2026-03-31_1328,
REI,Long,T3-LONG_WATCH,27,FRESH_HOLD,1.5898,1.585,1.6415,1.53,1.63,1.485,8257585.0,-3.76,STOPPED,-1.0,2026-03-31_1328,
EGY,Long,T3-LONG_WATCH,18,PULLBACK,6.25,6.17,6.88,6.34,6.715,6.2,1785641.0,1.44,WINNING,1.12,2026-03-31_1328,
AHCO,Long,T3-LONG_WATCH,18,PULLBACK,10.46,10.0,12.13,11.9,11.98,11.45,1456147.0,13.77,WINNING,3.13,2026-03-31_1328,
WLTH,Long,T3-LONG_WATCH,18,FRESH_HOLD,8.9,8.88,9.14,9.25,9.45,9.07,1024445.0,3.93,TARGET_HIT,12.0,2026-03-31_1328,
WTI,Long,T3-LONG_WATCH,16,PULLBACK,3.32,3.28,3.5503,3.41,3.725,3.2711,13442830.0,2.71,STOPPED,-1.0,2026-03-31_1328,
